tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
841,2020-02-01 00:02:13.7650,2020-02-01 00:16:15.4720,3199,Newport Pkwy,40.7287448,-74.0321082,3213,Van Vorst Park,40.71848892,-74.047726625,42217,Subscriber,1980,1
206,2020-02-01 00:16:11.3850,2020-02-01 00:19:37.4460,3273,Manila & 1st,40.721650724880000,-74.04288411140440,3639,Harborside,40.7192517,-74.034234,42160,Subscriber,1990,1
859,2020-02-01 00:23:22.1090,2020-02-01 00:37:41.5060,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346382669200,-74.06285852193830,42204,Customer,1991,1
693,2020-02-01 00:25:14.5170,2020-02-01 00:36:48.0280,3185,City Hall,40.7177325,-74.043845,3277,Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,42165,Subscriber,1987,1
1473,2020-02-01 00:32:30.5050,2020-02-01 00:57:04.3740,3192,Liberty Light Rail,40.7112423,-74.0557013,3639,Harborside,40.7192517,-74.034234,26156,Customer,1969,0
129,2020-02-01 00:34:14.4380,2020-02-01 00:36:23.5540,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,29302,Subscriber,1992,2
394,2020-02-01 00:36:33.0060,2020-02-01 00:43:07.4130,3201,Dey St,40.737711,-74.066921,3281,Leonard Gordon Park,40.74590996631560,-74.0572714805603,42241,Subscriber,1969,1
279,2020-02-01 00:52:29.4100,2020-02-01 00:57:08.5210,3187,Warren St,40.7211236,-74.03805095,3211,Newark Ave,40.72152515,-74.046304543,42184,Subscriber,1987,1
242,2020-02-01 01:11:13.0100,2020-02-01 01:15:15.3820,3203,Hamilton Park,40.727595966,-74.044247311,3213,Van Vorst Park,40.71848892,-74.047726625,42254,Subscriber,1989,1
451,2020-02-01 01:16:04.9460,2020-02-01 01:23:36.4580,3213,Van Vorst Park,40.71848892,-74.047726625,3268,Lafayette Park,40.71346382669200,-74.06285852193830,42217,Subscriber,1999,1
